time,Device,Device01,Device02,Device03,Device04,Device05,Device06,Device07,Device08,Device09,Device10,Device11,Device12,Device13,Device14,Device15,Device16,Device17,Device18,Device19,Device20
3.1874609,7.3056896e-11,20.58905,20.272346,20.14143,20.098602,20.091177,20.087413,22.23078,20.60282,20.23182,20.130327,20.095581,20.086295,22.981704,20.717498,20.244504,20.139803,20.09415,20.084724,20.081586,20.08094
3.2246627,7.5695103e-11,20.596044,20.276258,20.143667,20.100239,20.092697,20.08887,22.246625,20.609816,20.235195,20.132426,20.097172,20.087734,22.996894,20.725501,20.247815,20.141907,20.095677,20.086119,20.082934,20.082277
3.2618645,7.8309844e-11,20.604059,20.280537,20.146007,20.101914,20.09425,20.090361,22.266999,20.617985,20.238876,20.134605,20.098793,20.089201,23.018202,20.735062,20.25155,20.144171,20.097261,20.087554,20.084318,20.083649
3.2990663,8.0894145e-11,20.611998,20.284797,20.148331,20.103572,20.095786,20.091834,22.286939,20.626075,20.242539,20.136766,20.100397,20.09065,23.038357,20.74456,20.255263,20.146416,20.098827,20.088971,20.085683,20.085003
3.3362681,8.3489929e-11,20.61986,20.289041,20.150639,20.105214,20.097306,20.09329,22.306457,20.634086,20.246185,20.138911,20.101985,20.092084,23.057412,20.753998,20.258957,20.148645,20.100378,20.090372,20.087034,20.086341
3.3771901,8.6291087e-11,20.627984,20.29344,20.152984,20.106842,20.0988,20.094716,22.327052,20.642692,20.250023,20.141096,20.103556,20.093485,23.074604,20.763908,20.26281,20.150915,20.101907,20.091738,20.088343,20.087638
3.418112,8.9300402e-11,20.636185,20.297973,20.155461,20.108602,20.100426,20.096272,22.347666,20.65137,20.253995,20.143412,20.105259,20.095017,23.092014,20.773933,20.266795,20.153317,20.103567,20.093235,20.089784,20.089065
3.459034,9.2319318e-11,20.644077,20.302304,20.157746,20.110169,20.101859,20.097636,22.366849,20.659737,20.257768,20.145536,20.106769,20.096356,23.106148,20.783655,20.270575,20.155524,20.105034,20.094539,20.091032,20.0903
3.499956,9.5659457e-11,20.652105,20.306801,20.160192,20.111896,20.10345,20.099158,22.385729,20.667944,20.261639,20.147809,20.108438,20.097856,23.120291,20.793307,20.274492,20.157888,20.106662,20.096003,20.09244,20.091695
3.540878,9.9057222e-11,20.659905,20.31117,20.162518,20.113503,20.104921,20.100559,22.403391,20.675921,20.265386,20.149961,20.109986,20.099235,23.13196,20.802751,20.278279,20.160129,20.108168,20.097346,20.093728,20.09297
